Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0402_1005Metric,-11.176,2.441,90.0,top
C2,10n,C_0402_1005Metric,-11.176,-1.242,-90.0,top
C3,10n,C_0402_1005Metric,-11.176,1.905,90.0,bottom
C4,10n,C_0402_1005Metric,-11.176,-0.762,90.0,bottom
C5,1u,C_0402_1005Metric,-13.716,-10.033,180.0,top
C6,100n,C_0402_1005Metric,-13.716,-11.049,180.0,top
C7,10u,C_0402_1005Metric,-13.716,-9.017,180.0,top
C8,1u,C_0402_1005Metric,-13.716,-8.001,180.0,top
J1,USB3_A,USB-A-SMD_HC-USB3.0-C345-P,8.18,-0.0,90.0,top
P1,USB_C_Plug,USB_C_Plug_Molex_105444,-12.85,-0.0,90.0,top
R1,5k1,R_0402_1005Metric,-11.176,0.536,90.0,top
U1,CH334F,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,-10.033,-9.271,90.0,top
U2,USBLC6-2SC6,SOT-23-6,0.0762,-10.5918,180.0,top
Y1,12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,-4.064,-10.922,-90.0,top
